key,ingredient,products
시카센텔라,마데카소사이드,22
시카센텔라,마데카소사이드 (1 ppm),1
시카센텔라,"마데카소사이드(1,080 ppm)",1
시카센텔라,마데카식애씨드,15
시카센텔라,마데카식애씨드 (3 ppm),1
시카센텔라,마데카식애씨드(0.04 ppb),1
시카센텔라,"마데카식애씨드*(3,600ppm)",1
시카센텔라,병풀꽃/잎/줄기추출물,1
시카센텔라,병풀뿌리추출물,3
시카센텔라,병풀잎/줄기가루,1
시카센텔라,병풀잎/줄기추출물,1
시카센텔라,병풀잎수,2
시카센텔라,병풀잎수(17712ppm),1
시카센텔라,병풀잎추출물,9
시카센텔라,병풀추출물,34
시카센텔라,병풀추출물 (2 ppm),1
시카센텔라,병풀추출물(1ppm),1
시카센텔라,병풀추출물(91ppm),1
시카센텔라,아시아티코사이드,15
시카센텔라,아시아티코사이드 (4 ppm),1
시카센텔라,"아시아티코사이드*(4,800ppm)",1
시카센텔라,아시아틱애씨드,15
시카센텔라,아시아틱애씨드 (3 ppm),1
시카센텔라,"아시아틱애씨드*(3,600ppm)",1
시카센텔라,정제수 다이카프릴릴에터 판테놀 글리세린 펜틸렌글라이콜 폴리글리세릴-6다이스테아레이트 프로판다이올 세틸에스터 호호바에스터 베헤닐알코올 그린와틀꽃왁스 해바라기씨왁스 병풀잎추출물 야콘뿌리즙 솔비탄올리에이트 징크글루코네이트 마데카소사이드 세테아릴아이소노나노에이트 망가니즈글루코네이트 아이소헥사데칸 알파-글루칸올리고사카라이드 소듐하이알루로네이트 소듐스테아로일글루타메이트 아데노신 만노오스 카퍼글루코네이트 하이드록시아세토페논 하이드록시프로필스타치포스페이트 카프릴로일살리실릭애씨드 비트레오스실라발효물 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 락토바실러스 말토덱스트린 폴리글리세린-3 폴리글리세릴-3비즈왁스 폴리솔베이트80 아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머 세틸알코올 토코페롤,1
시카센텔라,정제수 비피다발효용해물 판테놀 다이메티콘 베타인 글리세린 부틸렌글라이콜 펜틸렌글라이콜 아이소프로필미리스테이트 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린 소듐하이드록사이드 만노오스 메틸다이하이드로자스모네이트 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 페녹시에탄올 하이드로제네이티드레시틴 알파-글루칸올리고사카라이드 카프릴릴글라이콜 폴리솔베이트20 마데카소사이드 스핑고모나스발효추출물 시트릭애씨드 야콘뿌리즙 소듐메틸스테아로일타우레이트 아세틸다이펩타이드-1세틸에스터 소듐벤조에이트 말토덱스트린 징크글루코네이트 망가니즈글루코네이트 소듐하이알루로네이트 엑토인 단삼뿌리추출물 살리실로일피토스핑고신 락토바실러스 트라이소듐에틸렌다이아민다이석시네이트 비사보롤,1
시카센텔라,정제수 하이드로제네이티드폴리아이소부텐 다이메티콘 글리세린 시어버터 판테놀 옥수수전분 프로판다이올 부틸렌글라이콜 세틸피이지/피피지-10/1다이메티콘 트라이하이드록시스테아린 병풀잎추출물 야콘뿌리즙 징크글루코네이트 마데카소사이드 망가니즈글루코네이트 알파-글루칸올리고사카라이드 실리카 알루미늄하이드록사이드 마그네슘설페이트 만노오스 카프릴로일글라이신 카프릴릴글라이콜 비트레오스실라발효물 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 락토바실러스 아세틸레이티드글라이콜스테아레이트 말토덱스트린 폴리글리세릴-4아이소스테아레이트 토코페롤 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트 티타늄디옥사이드,1
나이아신아마이드,나이아신아 마이드,1
나이아신아마이드,나이아신아마이드,67
나이아신아마이드,"나이아신아마이드 (20,000 ppm)",1
나이아신아마이드,나이아신아마이드(10%),1
나이아신아마이드,"나이아신아마이드(20,000 ppm)",1
나이아신아마이드,"나이아신아마이드(20,000ppm)",1
나이아신아마이드,"나이아신아마이드(30,000 ppm)",2
나이아신아마이드,나이아신아마이드(5%),3
나이아신아마이드,사이클릭아데노신다이포스페이트리보오스 나이아신아마이드,1
나이아신아마이드,정제수 글리세린 펜타에리스리틸테트라에틸헥사노에이트 프로판다이올 암모늄폴리아크릴로일다이메틸타우레이트 폴리솔베이트60 세라마이드엔피 나이아신아마이드 소듐클로라이드 코코-베타인 다이소듐이디티에이 카프릴릴글라이콜 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 판테놀 펜틸렌글라이콜 에틸헥실글리세린 토코페롤 클로페네신,1
나이아신아마이드,정제수 변성알코올 글리세린 프로판다이올 나이아신아마이드 락틱애씨드 하이드록시에틸피페라진에탄설포닉애씨드 하이드록시아세토페논 소듐하이드록사이드 하이드록시프로필구아 살리실릭애씨드 파이틱애씨드,1
히알루론산,다이메틸실란올하이알루로네이트,9
히알루론산,다이메틸실란올하이알루로네이트(165 ppb),1
히알루론산,소듐아세틸레이티드하이알 루로네이트(1ppm),2
히알루론산,소듐아세틸레이티드하이알루로네이트,27
히알루론산,소듐아세틸레이티드하이알루로네이트(0.0002ppb),1
히알루론산,소듐아세틸레이티드하이알루로네이트(45.2 ppb),1
히알루론산,소듐아세틸레이티드하이알루로네이트*(0.1 ppm),1
히알루론산,소듐하이알루 로네이트크로스폴리머(30ppm),2
히알루론산,소듐하이알루로 네이트(800ppm),2
히알루론산,소듐하이알루로네이트,72
히알루론산,소듐하이알루로네이트(0.52ppb),1
히알루론산,"소듐하이알루로네이트(1,000ppm)",1
히알루론산,소듐하이알루로네이트(100ppm),1
히알루론산,소듐하이알루로네이트(170 ppb),1
히알루론산,"소듐하이알루로네이트(2,400ppm)",1
히알루론산,소듐하이알루로네이트*(203.01 ppm),1
히알루론산,소듐하이알루로네이트다이메틸실란올,9
히알루론산,소듐하이알루로네이트다이메틸실란올(55 ppb),1
히알루론산,소듐하이알루로네이트크로스폴리머,27
히알루론산,소듐하이알루로네이트크로스폴리머(0.1981ppm),1
히알루론산,소듐하이알루로네이트크로스폴리머(2.08ppb),1
히알루론산,소듐하이알루로네이트크로스폴리머(89.8 ppb),1
히알루론산,소듐하이알루로네이트크로스폴리머*(0.0001 ppm),1
히알루론산,정제수 다이카프릴릴에터 판테놀 글리세린 펜틸렌글라이콜 폴리글리세릴-6다이스테아레이트 프로판다이올 세틸에스터 호호바에스터 베헤닐알코올 그린와틀꽃왁스 해바라기씨왁스 병풀잎추출물 야콘뿌리즙 솔비탄올리에이트 징크글루코네이트 마데카소사이드 세테아릴아이소노나노에이트 망가니즈글루코네이트 아이소헥사데칸 알파-글루칸올리고사카라이드 소듐하이알루로네이트 소듐스테아로일글루타메이트 아데노신 만노오스 카퍼글루코네이트 하이드록시아세토페논 하이드록시프로필스타치포스페이트 카프릴로일살리실릭애씨드 비트레오스실라발효물 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 락토바실러스 말토덱스트린 폴리글리세린-3 폴리글리세릴-3비즈왁스 폴리솔베이트80 아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머 세틸알코올 토코페롤,1
히알루론산,정제수 비피다발효용해물 판테놀 다이메티콘 베타인 글리세린 부틸렌글라이콜 펜틸렌글라이콜 아이소프로필미리스테이트 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린 소듐하이드록사이드 만노오스 메틸다이하이드로자스모네이트 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 페녹시에탄올 하이드로제네이티드레시틴 알파-글루칸올리고사카라이드 카프릴릴글라이콜 폴리솔베이트20 마데카소사이드 스핑고모나스발효추출물 시트릭애씨드 야콘뿌리즙 소듐메틸스테아로일타우레이트 아세틸다이펩타이드-1세틸에스터 소듐벤조에이트 말토덱스트린 징크글루코네이트 망가니즈글루코네이트 소듐하이알루로네이트 엑토인 단삼뿌리추출물 살리실로일피토스핑고신 락토바실러스 트라이소듐에틸렌다이아민다이석시네이트 비사보롤,1
히알루론산,포타슘하이알루로네이트,22
히알루론산,포타슘하이알루로네이트(111.8 ppb),1
히알루론산,포타슘하이알루로네이트(30ppm),2
히알루론산,하이드록시프로필트라이모늄하이알루로네이트,24
히알루론산,하이드록시프로필트라이모늄하이알루로네이트 (30ppm),2
히알루론산,하이드록시프로필트라이모늄하이알루로네이트(0.012ppb),1
히알루론산,하이드록시프로필트라이모늄하이알루로네이트(89.8 ppb),1
히알루론산,하이드록시프로필트라이모늄하이알루로네이트*(0.1 ppm),1
히알루론산,하이드롤라이즈드소듐하이알루로네이 트(30ppm),2
히알루론산,하이드롤라이즈드소듐하이알루로네이트,27
히알루론산,하이드롤라이즈드소듐하이알루로네이트(0.1ppm),1
히알루론산,"하이드롤라이즈드소듐하이알루로네이트(10,000ppb)",1
히알루론산,하이드롤라이즈드소듐하이알루로네이트(166 ppb),1
히알루론산,하이드롤라이즈드소듐하이알루로네이트*(0.1 ppm),1
히알루론산,하이드롤라이즈드하이알루로닉애씨드,36
히알루론산,하이드롤라이즈드하이알루로닉애씨드(0.100052ppm),1
히알루론산,"하이드롤라이즈드하이알루로닉애씨드(1,000ppm)",1
히알루론산,하이드롤라이즈드하이알루로닉애씨드(100.16 ppm),1
히알루론산,하이드롤라이즈드하이알루로닉애씨드(1ppm),1
히알루론산,"하이드롤라이즈드하이알루로닉애씨드(29,049ppm)",2
히알루론산,"하이드롤라이즈드하이알루로닉애씨드(60,000ppb)",1
히알루론산,하이드롤라이즈드하이알루로닉애씨드*(8791 ppm),1
히알루론산,하이알 루로닉애씨드(30ppm),2
히알루론산,하이알루로닉애씨드,31
히알루론산,하이알루로닉애씨드(0.001ppb),1
히알루론산,하이알루로닉애씨드(111.8 ppb),1
히알루론산,하이알루로닉애씨드*(0.2 ppm),1
펩타이드,노나펩타이드-1,8
펩타이드,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이 트,1
펩타이드,다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,1
펩타이드,데카펩타이드-4,1
펩타이드,미리스토일펜타펩타이드-17,1
펩타이드,바이오티노일트라이펩타이드-1,2
펩타이드,벼에스에이치-올리고펩타이드-1   * 레티놀 함량 509 IU/g,1
펩타이드,아세틸다이펩타이드-1세틸에스터,1
펩타이드,아세틸옥타펩타이드-3,3
펩타이드,아세틸테트라펩타이드-11,1
펩타이드,아세틸테트라펩타이드-2,4
펩타이드,아세틸테트라펩타이드-3,5
펩타이드,아세틸테트라펩타이드-5,3
펩타이드,아세틸테트라펩타이드-9,3
펩타이드,아세틸헥사펩타이드-8,16
펩타이드,아세틸헥사펩타이드-8(0.1ppb),1
펩타이드,아세틸헥사펩타이드-8(0.5ppb),1
펩타이드,아세틸헥사펩타이드-8(3.813 ppb),2
펩타이드,아스코빅애씨드폴리펩타이드,3
펩타이드,알지닌/라이신폴리펩타이드,1
펩타이드,에스에이치-올리고펩타이드-1,5
펩타이드,에스에이치-올리고펩타이드-1(0.1ppb),1
펩타이드,에스에이치-올리고펩타이드-2,2
펩타이드,에스에이치-폴리펩타이드-1,2
펩타이드,에스에이치-폴리펩타이드-11,1
펩타이드,에스에이치-폴리펩타이드-16,1
펩타이드,에스에이치-폴리펩타이드-22,2
펩타이드,에스에이치-폴리펩타이드-3,2
펩타이드,에스에이치-폴리펩타이드-62,1
펩타이드,에스에이치-폴리펩타이드-9,1
펩타이드,올리고펩타이드-1,1
펩타이드,올리고펩타이드-29(0.15ppb),1
펩타이드,올리고펩타이드-32(0.15ppb),1
펩타이드,정제수 비피다발효용해물 판테놀 다이메티콘 베타인 글리세린 부틸렌글라이콜 펜틸렌글라이콜 아이소프로필미리스테이트 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린 소듐하이드록사이드 만노오스 메틸다이하이드로자스모네이트 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 페녹시에탄올 하이드로제네이티드레시틴 알파-글루칸올리고사카라이드 카프릴릴글라이콜 폴리솔베이트20 마데카소사이드 스핑고모나스발효추출물 시트릭애씨드 야콘뿌리즙 소듐메틸스테아로일타우레이트 아세틸다이펩타이드-1세틸에스터 소듐벤조에이트 말토덱스트린 징크글루코네이트 망가니즈글루코네이트 소듐하이알루로네이트 엑토인 단삼뿌리추출물 살리실로일피토스핑고신 락토바실러스 트라이소듐에틸렌다이아민다이석시네이트 비사보롤,1
펩타이드,카퍼트라이펩타이드-1,16
펩타이드,카퍼트라이펩타이드-1(0.1ppb),1
펩타이드,카퍼트라이펩타이드-1(3.813 ppb),2
펩타이드,콩폴리펩타이드,1
펩타이드,트라이펩타이드-1,8
펩타이드,트라이펩타이드-1(0.1ppb),1
펩타이드,트라이펩타이드-2,1
펩타이드,트라이펩타이드-3,1
펩타이드,팔미토일테트라펩타이드-10,1
펩타이드,팔미토일테트라펩타이드-7,10
펩타이드,팔미토일트라이펩타이드-1,10
펩타이드,팔미토일트라이펩타이드-1(0.015ppb),1
펩타이드,팔미토일트라이펩타이드-38,1
펩타이드,팔미토일트라이펩타이드-38(0.1ppb),1
펩타이드,팔미토일트라이펩타이드-5,6
펩타이드,팔미토일트라이펩타이드-5(0.1ppb),1
펩타이드,팔미토일펜타펩타이드-4,11
펩타이드,팔미토일펜타펩타이드-4(0.015ppb),1
펩타이드,팔미토일펜타펩타이드-4(0.1ppb),1
펩타이드,팔미토일헥사펩타이드-12,1
펩타이드,펜타펩타이드-3,1
펩타이드,펜타펩타이드-4,1
펩타이드,펜타펩타이드-4(0.1ppb),1
펩타이드,헥사펩타이드-12,1
펩타이드,헥사펩타이드-12(0.1ppb),1
펩타이드,헥사펩타이드-9,7
펩타이드,헥사펩타이드-9(0.093 ppb),2
펩타이드,헥사펩타이드-9(0.1ppb),1
콜라겐,데사미도콜라겐(686ppb),1
콜라겐,소듐소이하이드롤라이즈드콜라겐,1
콜라겐,수용성콜라겐,2
콜라겐,수용성콜라겐(100 ppb),1
콜라겐,수용성콜라겐(124 ppb),1
콜라겐,수용성콜라겐크로스폴리머(10ppb),1
콜라겐,아텔로콜라겐(0.01ppb),1
콜라겐,아텔로콜라겐(0.1ppb),1
콜라겐,아텔로콜라겐(728 ppb),1
콜라겐,징크하이드롤라이즈드콜라겐,1
콜라겐,콜라겐,1
콜라겐,"콜라겐(1,100 ppm)",1
콜라겐,콜라겐(105 ppm),1
콜라겐,콜라겐수,1
콜라겐,"콜라겐수(781,963ppm)",1
콜라겐,"콜라겐수(785,421 ppm)",1
콜라겐,콜라겐아미노산,1
콜라겐,콜라겐아미노산(62 ppb),1
콜라겐,콜라겐추출물,9
콜라겐,콜라겐추출물(1 ppb),1
콜라겐,콜라겐추출물(100ppb),1
콜라겐,"콜라겐추출물(55,000ppb)",1
콜라겐,프로콜라겐(10 ppb),1
콜라겐,하이드롤라이즈드콜라겐,15
콜라겐,하이드롤라이즈드콜라겐(10ppb),1
콜라겐,하이드롤라이즈드콜라겐(1ppb),1
콜라겐,하이드롤라이즈드콜라겐(259 ppm),1
콜라겐,하이드롤라이즈드콜라겐(500 ppb),1
판테놀,덱스판테놀,5
판테놀,정제수 글리세린 펜타에리스리틸테트라에틸헥사노에이트 프로판다이올 암모늄폴리아크릴로일다이메틸타우레이트 폴리솔베이트60 세라마이드엔피 나이아신아마이드 소듐클로라이드 코코-베타인 다이소듐이디티에이 카프릴릴글라이콜 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 판테놀 펜틸렌글라이콜 에틸헥실글리세린 토코페롤 클로페네신,1
판테놀,정제수 다이카프릴릴에터 판테놀 글리세린 펜틸렌글라이콜 폴리글리세릴-6다이스테아레이트 프로판다이올 세틸에스터 호호바에스터 베헤닐알코올 그린와틀꽃왁스 해바라기씨왁스 병풀잎추출물 야콘뿌리즙 솔비탄올리에이트 징크글루코네이트 마데카소사이드 세테아릴아이소노나노에이트 망가니즈글루코네이트 아이소헥사데칸 알파-글루칸올리고사카라이드 소듐하이알루로네이트 소듐스테아로일글루타메이트 아데노신 만노오스 카퍼글루코네이트 하이드록시아세토페논 하이드록시프로필스타치포스페이트 카프릴로일살리실릭애씨드 비트레오스실라발효물 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 락토바실러스 말토덱스트린 폴리글리세린-3 폴리글리세릴-3비즈왁스 폴리솔베이트80 아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머 세틸알코올 토코페롤,1
판테놀,정제수 비피다발효용해물 판테놀 다이메티콘 베타인 글리세린 부틸렌글라이콜 펜틸렌글라이콜 아이소프로필미리스테이트 피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린 소듐하이드록사이드 만노오스 메틸다이하이드로자스모네이트 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 페녹시에탄올 하이드로제네이티드레시틴 알파-글루칸올리고사카라이드 카프릴릴글라이콜 폴리솔베이트20 마데카소사이드 스핑고모나스발효추출물 시트릭애씨드 야콘뿌리즙 소듐메틸스테아로일타우레이트 아세틸다이펩타이드-1세틸에스터 소듐벤조에이트 말토덱스트린 징크글루코네이트 망가니즈글루코네이트 소듐하이알루로네이트 엑토인 단삼뿌리추출물 살리실로일피토스핑고신 락토바실러스 트라이소듐에틸렌다이아민다이석시네이트 비사보롤,1
판테놀,정제수 하이드로제네이티드폴리아이소부텐 다이메티콘 글리세린 시어버터 판테놀 옥수수전분 프로판다이올 부틸렌글라이콜 세틸피이지/피피지-10/1다이메티콘 트라이하이드록시스테아린 병풀잎추출물 야콘뿌리즙 징크글루코네이트 마데카소사이드 망가니즈글루코네이트 알파-글루칸올리고사카라이드 실리카 알루미늄하이드록사이드 마그네슘설페이트 만노오스 카프릴로일글라이신 카프릴릴글라이콜 비트레오스실라발효물 시트릭애씨드 트라이소듐에틸렌다이아민다이석시네이트 락토바실러스 아세틸레이티드글라이콜스테아레이트 말토덱스트린 폴리글리세릴-4아이소스테아레이트 토코페롤 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트 티타늄디옥사이드,1
판테놀,판테놀,60
판테놀,"판테놀 (30,000 ppm)",1
판테놀,"판테놀(1,000ppm)",1
판테놀,"판테놀(1,300 ppm)",2
판테놀,"판테놀(30,000ppm)",1
