aspect,scope,category,pattern,is_neutral_noun,ruleset,priority,term_kind,topic_type,trend_use,note
백탁,generic,,백탁,false,retrieval-topic,1,ko,attribute,true,백태·창백·유령·회끄무레는 실측 0건이라 제외
백탁,generic,,하얗게,false,retrieval-topic,1,ko,,,
백탁,generic,,하얘,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,눈시림,false,retrieval-topic,1,ko,attribute,true,눈시려·눈아파·눈매움 0건 제외. '눈물'은 감동 댓글과 섞여 제외
자극_눈시림,generic,,눈 시림,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,눈따가,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,자극,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,따갑,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,붉어,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,뒤집,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,예민,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,트러블,false,retrieval-topic,1,ko,,,
자극_눈시림,generic,,알러지,false,retrieval-topic,1,ko,,,
발림성,generic,,발림성,false,retrieval-topic,1,ko,attribute,true,'발림'은 '발림성'보다 17편 더 잡는다(발림이 좋다 등). 둘 다 유지
발림성,generic,,발림,false,retrieval-topic,1,ko,,,
발림성,generic,,제형,false,retrieval-topic,1,ko,,,
발림성,generic,,텍스처,false,retrieval-topic,1,ko,,,
촉촉함_건조함,generic,,촉촉,false,retrieval-topic,1,ko,attribute,true,'건조'는 댓글(89)이 영상(38)보다 많다. 불만은 댓글에 쌓인다
촉촉함_건조함,generic,,수분,false,retrieval-topic,1,ko,,,
촉촉함_건조함,generic,,보습,false,retrieval-topic,1,ko,,,
촉촉함_건조함,generic,,건조,false,retrieval-topic,1,ko,,,
촉촉함_건조함,generic,,속건조,false,retrieval-topic,1,ko,,,
끈적임_유분감,generic,,끈적,false,retrieval-topic,1,ko,attribute,true,미끌 0건 제외
끈적임_유분감,generic,,유분,false,retrieval-topic,1,ko,,,
끈적임_유분감,generic,,번들,false,retrieval-topic,1,ko,,,
끈적임_유분감,generic,,기름,false,retrieval-topic,1,ko,,,
밀림_들뜸,generic,,밀림,false,retrieval-topic,1,ko,attribute,true,'화장 궁합' 0건 제외
밀림_들뜸,generic,,밀려,false,retrieval-topic,1,ko,,,
밀림_들뜸,generic,,들뜸,false,retrieval-topic,1,ko,,,
밀림_들뜸,generic,,뭉침,false,retrieval-topic,1,ko,,,
지속력_워터프루프,generic,,지속력,false,retrieval-topic,1,ko,attribute,true,'지속'만으로는 '지속적으로' 등 일반어에 걸려 제외
지속력_워터프루프,generic,,워터프루프,false,retrieval-topic,1,ko,,,
지속력_워터프루프,generic,,무너짐,false,retrieval-topic,1,ko,,,
지속력_워터프루프,generic,,재도포,false,retrieval-topic,1,ko,,,
지속력_워터프루프,generic,,땀에,false,retrieval-topic,1,ko,,,
지속력_워터프루프,generic,,방수,false,retrieval-topic,1,ko,,,
톤업_메이크업베이스,generic,,톤업,false,retrieval-topic,1,ko,attribute,true,'베이스'(83)는 단독으로 화장품 일반어라 제외
톤업_메이크업베이스,generic,,톤 업,false,retrieval-topic,1,ko,,,
톤업_메이크업베이스,generic,,메이크업베이스,false,retrieval-topic,1,ko,,,
톤업_메이크업베이스,generic,,피부톤,false,retrieval-topic,1,ko,,,
톤업_메이크업베이스,generic,,화이트닝,false,retrieval-topic,1,ko,,,
톤업_메이크업베이스,generic,,파데프리,false,retrieval-topic,1,ko,,,
무기자차,generic,,무기자차,false,retrieval-topic,1,ko,formula,true,"유튜브는 '무기자차', 식약처는 '산화아연'. 표기 겹침 0건 -> 매핑 필수"
무기자차,generic,,징크,false,retrieval-topic,1,ko,,,
무기자차,generic,,티타늄,false,retrieval-topic,1,ko,,,
