category,need_key,scope,neg,pos,unresolved,products_neg,months_neg,low_reviews_mentioning,low_share,population_share_pct,cat_low_total,cat_site_total
BB/CC,기타불만,generic,8,1,0.89,1/1,8,9,0.209,0.161,43,5583
BB/CC,끈적유분,generic,6,0,1.0,1/1,5,5,0.116,0.09,43,5583
BB/CC,트러블,generic,4,1,0.8,1/1,4,5,0.116,0.09,43,5583
BB/CC,자극따가움,generic,4,1,0.8,1/1,3,5,0.116,0.09,43,5583
BB/CC,밀림들뜸,generic,4,0,1.0,1/1,4,3,0.07,0.054,43,5583
BB/CC,효과없음,generic,2,46,0.04,1/1,2,11,0.256,0.197,43,5583
BB/CC,색상발색,generic,1,1,0.5,1/1,1,5,0.116,0.09,43,5583
BB/CC,건조,generic,1,1,0.5,1/1,1,1,0.023,0.018,43,5583
BB/CC,향냄새,generic,1,3,0.25,1/1,1,1,0.023,0.018,43,5583
BB/CC,지속력,generic,0,4,0.0,0/1,0,2,0.047,0.036,43,5583
BB/CC,배송포장,generic,0,4,0.0,0/1,0,4,0.093,0.072,43,5583
BB/CC,제형발림,generic,0,4,0.0,0/1,0,2,0.047,0.036,43,5583
BB/CC,용량가격,generic,0,1,0.0,0/1,0,1,0.023,0.018,43,5583
립틴트,기타불만,generic,62,3,0.95,1/1,4,0,,,0,0
립틴트,입술각질,specific,36,7,0.84,1/1,4,0,,,0,0
립틴트,끈적유분,generic,16,1,0.94,1/1,3,0,,,0,0
립틴트,밀림들뜸,generic,13,3,0.81,1/1,3,0,,,0,0
립틴트,지속력,generic,10,59,0.14,1/1,3,0,,,0,0
립틴트,건조,generic,8,3,0.73,1/1,4,0,,,0,0
립틴트,자극따가움,generic,7,1,0.88,1/1,3,0,,,0,0
립틴트,색상발색,generic,5,40,0.11,1/1,2,0,,,0,0
립틴트,제형발림,generic,5,19,0.21,1/1,2,0,,,0,0
립틴트,배송포장,generic,4,11,0.27,1/1,2,0,,,0,0
립틴트,향냄새,generic,2,0,1.0,1/1,2,0,,,0,0
립틴트,트러블,generic,2,0,1.0,1/1,2,0,,,0,0
립틴트,용기펌프,generic,1,1,0.5,1/1,1,0,,,0,0
립틴트,용량가격,generic,0,5,0.0,0/1,0,0,,,0,0
립틴트,효과없음,generic,0,1,0.0,0/1,0,0,,,0,0
