site,product_key,review_key,category,lexicon_category,need_key,aspect_scope,polarity,rating,month,sentence
daisomall,1017947,8547186,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 최고고 자극없어 좋아요.
daisomall,1017947,8547404,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격대비  아주  만족해요  1000원
daisomall,1017947,8591497,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 매우 좋습니다 .다음에 또 구매할께요
daisomall,1017947,8572634,뷰티/위생,뷰티/위생,자극따가움,generic,불만,5.0,2026-08,아파트만 하나 지어주세요
daisomall,1017947,8564875,뷰티/위생,뷰티/위생,자극따가움,generic,불만,5.0,2026-08,주변 청소용으로 막 쓰려고 구매했어요.
daisomall,1017947,8557698,뷰티/위생,뷰티/위생,배송포장,generic,만족,5.0,2026-08,빠른배송굿
daisomall,1017947,8639481,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,언제나 만족하는 가성비좋은 제품이예요.
daisomall,1017947,8637247,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,두껍고 양이 많아 가성비가 좋아요.
daisomall,1017947,8635447,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,집에서 물티슈는 진짜 많이 쓰는 편이라 가성비 괜찮은 제품을 찾다가 사용해봤어요.
daisomall,1017947,8635447,뷰티/위생,뷰티/위생,용기펌프,generic,만족,5.0,2026-08,"캡형이라 한 장 뽑아 쓰고 뚜껑만 닫아두면 되니까 보관하기도 편하고, 여러 번 열고 닫아도 사용하기 간편하더라고요."
daisomall,1017947,8611969,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비좋습니다
daisomall,1017947,8610774,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비짱인 물티슈입니다
daisomall,1030480,8472846,뷰티/위생,뷰티/위생,용기펌프,generic,만족,5.0,2026-08,디자인도 마음에 들고 사용하기 편리해요
daisomall,1030480,8471526,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비가 좋아서 재구매 했어요.
daisomall,1030480,8469589,뷰티/위생,뷰티/위생,용량가격,generic,만족,4.0,2026-08,가격도 저렴하구 사용감이좋아요
daisomall,1030480,8469567,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격도 퀄리티도 최고입니다
daisomall,1030480,8467666,뷰티/위생,뷰티/위생,기타불만,generic,불만,5.0,2026-08,좀 늦게 알았어 후회 됩니다
daisomall,1030480,8467666,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비굿!
daisomall,1030480,8466982,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 좋습니다
daisomall,1030480,8462440,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 좋은 제품입니다.
daisomall,1030480,8462440,뷰티/위생,뷰티/위생,향냄새,generic,불만,5.0,2026-08,그런데 이번에는 박스에서 곰팡이냄새 같은게 많이 나서 티슈에도 냄새가 배었을까봐 걱정이네요;
daisomall,1030480,8456580,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 좋아서 마음 놓고 써요.
daisomall,1030480,8501331,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격 대비 매수가 많아서 너무 만족합니다.
daisomall,1030480,8497896,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 갑티슈 좋아요
daisomall,1030480,8497856,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,티슈로 이것저것 닦다보니 가성비 면으로 좋은것 같아요.
daisomall,1030480,8493257,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,"계속 계속 재구매중
가성비 굿"
daisomall,1030480,8482456,뷰티/위생,뷰티/위생,용량가격,generic,만족,4.0,2026-08,그래서 별 한 개 뺐지만 가성비로 쓰기에는 딱 좋은 것 같습니다~
daisomall,1030480,8481163,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,좋은 가격으로 구매할 수 있어서 기쁩니다ㅎㅎ
daisomall,1030480,8478390,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 좋은 제품입니다
daisomall,1030480,8540536,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,무난한 티슈 무난한가격!
daisomall,1030480,8538770,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비굿굿 이용굿굿
daisomall,1030480,8531175,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,싼가격에 많은용량 좋습니다
daisomall,1030480,8526747,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 좋아서 만족
daisomall,1030480,8521028,뷰티/위생,뷰티/위생,용기펌프,generic,만족,5.0,2026-08,디자인 등 만족합니다…
daisomall,1030480,8518493,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,착한가격에 가성비 좋아요
daisomall,1030480,8514937,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비로는 따라올 수 없는 티슈라고 생각합니다
daisomall,1030480,8510489,뷰티/위생,뷰티/위생,용량가격,generic,만족,4.0,2026-08,가성비굿이에요.
daisomall,1030480,8510030,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 최고에요
daisomall,1030480,8504182,뷰티/위생,뷰티/위생,배송포장,generic,만족,5.0,2026-08,배송빠르고 좋아요!~
daisomall,1030480,8601162,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격 저렴하고 무난하게 쓰기 좋아요.
daisomall,1030480,8583180,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격대비 양도 괜찮고 질적으로도 쓸만합니다
daisomall,1030480,8582930,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,저렴한 가격에 너무 얇지고않아 잘 쓰고있는 제품입니다
daisomall,1030480,8577016,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격대비 장수도 많아서 좋아요
daisomall,1030480,8575889,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 넘좋아여   쓰기도 편해요
daisomall,1030480,8575861,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 넘좋아여   쓰기도 편해요
daisomall,1030480,8574865,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 넘좋아여   쓰기도 편해요
daisomall,1030480,8587190,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,다이소휴지는 가성비짱...
daisomall,1030480,8588335,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,톡톡하고 양많고 가성비도 좋네요!
daisomall,1030480,8587431,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 좋은 티슈.
daisomall,1030480,8558272,뷰티/위생,뷰티/위생,용량가격,generic,만족,4.0,2026-08,가격에 비해 품질도 나쁘지 않아요
daisomall,1030480,8553039,뷰티/위생,뷰티/위생,자극따가움,generic,만족,5.0,2026-08,자극적이지 않고 좋아ㅛ
daisomall,1030480,8554792,뷰티/위생,뷰티/위생,배송포장,generic,불만,5.0,2026-08,너무 부드러우면 잘 찢어지는데 헬로 데일리 미용티슈는 약간의 견고함이 있어서 더 마음에 들어요
daisomall,1030480,8624014,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 굿
daisomall,1030480,8622639,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,상품도 좋고 가격도 만족스러워요
daisomall,1030480,8627292,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 최고의 티슈
daisomall,1030480,8626715,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격에 비해서는 괜찮은 편이지만 품질은 그럭저럭
daisomall,1030480,8620992,뷰티/위생,뷰티/위생,배송포장,generic,불만,4.0,2026-08,"그나저나 이번배송은 오래걸리고, 큰물건있어 배송비까지 줘가며 온라인으로 주문했는데, 포장상태가 아주그냥 엉망진창이네요.."
daisomall,1030480,8620992,뷰티/위생,뷰티/위생,기타불만,generic,불만,4.0,2026-08,이럴꺼면 그냥 매장가서 살껄 살짝 후회가 되네요.
daisomall,1030480,8620835,뷰티/위생,뷰티/위생,용량가격,generic,만족,4.0,2026-08,가성비 최고입니다.
daisomall,1030480,8617661,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비템으로 사용하기 좋아요
daisomall,1030480,8613305,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격이 착해서 좋아용
daisomall,1030480,8610808,뷰티/위생,뷰티/위생,끈적유분,generic,불만,1.0,2026-08,삼푸나 워셔액등 무거운 액체류와 함께 각티슈를 배송하다보니 다
daisomall,1030480,8610684,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 너무 좋습니다
daisomall,1030480,8610667,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 너무 좋습니다
daisomall,1030480,8610396,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 짱입니다
daisomall,1030480,8608863,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비가 꽤 좋습니다
daisomall,1030480,8605984,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가격 대비 품질이 좋아요
daisomall,1030480,8631745,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,매수가 많아서 대용량이라 한 번 사두면 편해요
daisomall,1030480,8647309,뷰티/위생,뷰티/위생,기타불만,generic,불만,1.0,2026-08,찌그러져 와서 짜증납니다
daisomall,1030480,8639440,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,언제나 만족하는 가성비좋은 제품이예요.
daisomall,1030480,8637920,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비가 아주 훌륭한 티슈라 넘 좋아요 ㅎ
daisomall,1030480,8636467,뷰티/위생,뷰티/위생,배송포장,generic,만족,5.0,2026-08,가성비 좋고 배송도 빠르게 왔어요~~~
daisomall,1030480,8635662,뷰티/위생,뷰티/위생,용량가격,generic,만족,4.0,2026-08,가격에 비해 품질도 괜찮아요
daisomall,1030480,8653509,뷰티/위생,뷰티/위생,용량가격,generic,만족,5.0,2026-08,가성비 너무 좋아요
daisomall,1044553,8412698,뷰티/위생,뷰티/위생,끈적유분,generic,불만,2.0,2026-08,흡수후 조금 찐득거리는거 같아요..
daisomall,1044553,8410178,뷰티/위생,뷰티/위생,효과없음,generic,만족,5.0,2026-08,보습도 나쁘지 않고 진정 효과가 확실히 있는 것 같아요.
daisomall,1044553,8410178,뷰티/위생,뷰티/위생,눈시림,generic,불만,5.0,2026-08,근데 눈에 들어가면 좀 아프긴 해요.
daisomall,1044553,8404248,뷰티/위생,뷰티/위생,트러블,generic,불만,5.0,2026-08,여드름 피부라 스트레스가 이만저만 아니었는데 추천받고 구매했습니다.
daisomall,1044553,8403178,뷰티/위생,뷰티/위생,효과없음,generic,만족,5.0,2026-08,"순하고 진정, 수분 다"
daisomall,1044553,8399487,뷰티/위생,뷰티/위생,끈적유분,generic,불만,5.0,2026-08,약간 번들거리긴해요!!
daisomall,1044553,8398714,뷰티/위생,뷰티/위생,트러블,generic,불만,5.0,2026-08,안개분사는 아니긴하지만 너무 순하고 여드름이나아지는게보여서 재재재재구매하고있어요
