product_key,category,collected,low_collected,low_complete,site_review_count,site_low_est
A000000130319,클렌징워터,300,150,False,53662,0
A000000139063,쿠션,300,150,False,38647,773
A000000171423,헤어트리트먼트,406,150,False,89844,0
A000000171427,패드,100,50,True,78927,1579
A000000184352,선블록,300,96,True,8791,88
A000000197603,헤어토닉/앰플,305,121,True,11726,117
A000000200646,에센스,300,150,False,23028,461
A000000202771,프로틴음료(고형),100,50,True,96469,1929
A000000204975,BB/CC,100,43,True,5583,56
A000000206769,염모제,344,150,False,45227,905
A000000208162,프로틴음료(고형),100,50,True,45051,0
A000000213261,샴푸,300,122,True,5930,119
A000000217567,헤어트리트먼트,304,15,True,2530,0
A000000218845,헤어토닉/앰플,300,133,True,13201,132
A000000222698,에센스,300,150,False,13079,262
A000000223414,시트팩,948,150,False,477229,0
A000000223625,스킨/토너,300,93,True,5674,113
A000000231589,크림,311,123,True,8977,180
A000000232081,클렌징폼,314,48,True,6111,0
A000000236543,올인원,300,8,True,6206,0
A000000237409,에센스,350,51,True,5000,50
A000000240462,시트팩,349,29,True,2636,26
A000000244854,쿠션,200,100,True,3546,177
A000000248065,선블록,300,114,True,3514,141
A000000250346,에센스,282,9,True,1838,0
A000000253122,쿠션,334,153,False,9611,288
A000000255256,립틴트,334,160,False,3647,219
A000000255682,패드,100,50,True,12607,252
A000000257580,선블록,300,21,True,11391,0
A000000258291,에센스,365,53,True,5558,0
A000000259222,페이셜미스트,300,40,True,3559,36
A000000259786,시트팩,293,4,True,2677,0
A000000260522,클렌징폼,200,100,True,18857,0
A000000261065,크림,51,2,True,51,
A000000261864,크림,320,150,False,37727,377
A000000262752,클렌징밀크,154,0,True,162,
A000000262985,클렌징폼,301,60,True,7603,0
A000000263824,스킨케어기기,12,0,True,12,
