product_key,name,board,t_change,price_before,price_after,pct,direction,gap_h,rank_pre6,rank_post6,rank_post12,rank_post24,d6,d12,d24,n_pre,n_post24
A000000007011,[15년연속1위] 니베아 데오드란트 롤온 7종,body,2026-08-21T03:00:00,7500,8900,18.7,rise,1,100.4,42.2,54.9,57.8,-58.2,-45.5,-42.7,5,24
A000000007011,[15년연속1위] 니베아 데오드란트 롤온 7종,sale,2026-08-21T03:00:00,7500,8900,18.7,rise,1,101,101,101,101,0,0,0,5,24
A000000007011,[15년연속1위] 니베아 데오드란트 롤온 7종,body,2026-08-21T04:00:00,8900,7500,-15.7,drop,1,94.2,35.5,54.9,57.9,-58.7,-39.3,-36.3,5,24
A000000007011,[15년연속1위] 니베아 데오드란트 롤온 7종,sale,2026-08-21T04:00:00,8900,7500,-15.7,drop,1,101,101,101,101,0,0,0,5,24
A000000139063,[윤광쿠션] 정샘물 에센셜 스킨 누더 쿠션/본품+리필,sale,2026-08-20T12:00:00,38400,40800,6.2,rise,4,44.5,30,32.8,28.8,-14.5,-11.7,-15.7,2,22
A000000139063,[윤광쿠션] 정샘물 에센셜 스킨 누더 쿠션/본품+리필,makeup,2026-08-20T12:00:00,38400,40800,6.2,rise,4,7,4.7,5.3,4.7,-2.3,-1.7,-2.3,2,22
A000000139063,[윤광쿠션] 정샘물 에센셜 스킨 누더 쿠션/본품+리필,sale,2026-08-21T09:00:00,40800,38400,-5.9,drop,1,27,26.7,35.2,31.8,-0.3,8.2,4.8,6,24
A000000139063,[윤광쿠션] 정샘물 에센셜 스킨 누더 쿠션/본품+리필,makeup,2026-08-21T09:00:00,40800,38400,-5.9,drop,1,4.5,5.5,6.9,6.0,1.0,2.4,1.5,6,24
A000000139063,[윤광쿠션] 정샘물 에센셜 스킨 누더 쿠션/본품+리필,sale,2026-08-21T10:00:00,38400,40800,6.2,rise,1,25.5,28.5,37.9,31.8,3.0,12.4,6.3,6,24
A000000139063,[윤광쿠션] 정샘물 에센셜 스킨 누더 쿠션/본품+리필,makeup,2026-08-21T10:00:00,38400,40800,6.2,rise,1,4.5,5.8,7.6,6.0,1.3,3.1,1.5,6,24
