product_ref,brand,name_norm,name,n_sites,sites,n_members
ol:A000000260522,비플레인,녹두 약산성 클렌징폼,[8월올영픽/2천만돌파]비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,3,oliveyoung+glowpick+hwahae,5
ol:A000000233335,션리,다시마 앰플 클렌징폼,[화해1위/모공쫀쫀 팩폼] 션리 다시마 앰플 클렌징폼 120ml,3,oliveyoung+glowpick+hwahae,4
ol:A000000156230,에스네이처,아쿠아 스쿠알란 수분 크림,[호텔스파권증정/1등 모공수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획(60ml+30ml),3,oliveyoung+glowpick+hwahae,3
ol:A000000198320,에스트라,아토베리어 365 크림,[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml,3,oliveyoung+glowpick+hwahae,4
ol:A000000258297,토리든,다이브인 저분자 히알루론산 세럼,[NEW] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획 (+멀티 패드 10매),3,oliveyoung+glowpick+hwahae,5
ol:A000000148591,3CE,블러 워터 틴트,[로즈코어/혈색생기] 3CE 블러 워터 틴트 4.6g 22종 단품/기획,2,oliveyoung+glowpick,2
ol:A000000109650,3CE,무드레시피 페이스 블러쉬,[청담샵필수템] 3CE 무드레시피 페이스 블러쉬 단품/기획,2,oliveyoung+glowpick,2
ol:A000000251417,46cm,체취 솔루션 데오드란트 바디워시,[OY단독 대용량] 46cm 체취 솔루션 데오드란트 바디워시 720ml 2종(클린솝/시트러스) 택1,2,oliveyoung+daisomall,2
ol:A000000185903,VDL,커버 스테인 퍼펙팅 쿠션,[블러밤증정/레몬패키지] VDL 커버 스테인 퍼펙팅 쿠션 기획 (본품+리필),2,oliveyoung+glowpick,2
ol:A000000178635,VDL,커버 스테인 퍼펙팅 파운데이션,[NEW올리브컬러/1등 파데] VDL 커버 스테인 퍼펙팅 파운데이션 30ml,2,oliveyoung+glowpick,2
ol:A000000184299,VDL,치크스테인 블러셔 블러셔,[레몬코어/퍼프2개증정] VDL 치크스테인 블러셔/블러셔 듀오 6g,2,oliveyoung+glowpick,2
da:1049276,VT,리들샷 300 페이셜 부스팅 퍼스트 앰플 개입,[피부결케어]VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,2,glowpick+daisomall,2
ol:A000000219554,구달,맑은 어성초 진정 무기자차 선크림,[뽀송/저자극] 구달 맑은 어성초 진정 무기자차 선크림 50ml 1+1 기획,2,oliveyoung+glowpick,2
ol:A000000219553,구달,맑은 어성초 진정 수분 선크림,[1등 선크림/화잘먹] 구달 맑은 어성초 진정 수분 선크림 50ml 1+1 기획,2,oliveyoung+glowpick,2
ol:A000000219556,구달,맑은 어성초 진정 수분 톤업 선크림,[핑크톤업] 구달 맑은 어성초 진정 수분 톤업 선크림 50ml 1+1 기획,2,oliveyoung+glowpick,2
ol:A000000210823,그로우어스,알게 테라피 미네랄 샴푸,[다시마 PDRN] 그로우어스 알게 테라피 미네랄 샴푸 500g 기획/단품,2,oliveyoung+glowpick,2
ol:A000000258889,글린트,하이라이터ex,[NEW/8월올영픽/아일릿 민주 PICK]글린트 하이라이터EX (+브러쉬 증정/아이돌 핑크빔),2,oliveyoung+glowpick,2
ol:A000000258890,글린트,소프트 핏 치크,[NEW/청담샵템/8월올영픽] 글린트 소프트 핏 치크 (+퍼프봉 브러쉬 증정 기획),2,oliveyoung+glowpick,2
ol:A000000189177,끌로에,오드퍼퓸,끌로에 EDP [단품/기획] (10ml/30ml/50기획/100기획),2,oliveyoung+glowpick,2
ol:A000000259976,나르카,프레시 쿨링 말차 pdrn 팩샴푸,[두피쿨링/탈모기능성] 나르카 프레시 쿨링 말차 PDRN 팩샴푸 500g,2,oliveyoung+glowpick,2
ol:A000000206053,넘버즈인,1번 판토텐산 액티브 수딩크림,[8월올영픽/트러블손절크림] 넘버즈인 1번 판토텐산 액티브 수딩크림 80ml 1+1 기획,2,oliveyoung+glowpick,2
ol:A000000184352,넘버즈인,1번 청초 진정맑은 물막선크림,[8월올영픽/-4도쿨링] 넘버즈인 1번 청초 진정맑은 물막선크림 듀오 기획 (SPF50+PA++++),2,oliveyoung+glowpick,2
ol:A000000171371,네이밍,플러피 파우더 블러쉬,[8월올영픽/1등 블러셔] 네이밍 플러피 파우더 블러쉬 20colors,2,oliveyoung+glowpick,2
ol:A000000175954,네이밍,레이어드 핏 쿠션,[올영단독기획/수부지쿠션1등] 네이밍 레이어드 핏 쿠션 기획(본품+리필),2,oliveyoung+glowpick,2
