src_a,key_a,name_a,src_b,key_b,name_b,brand,shared_tok,shared_sig,dice,mutual,norm_a,norm_b
oliveyoung,A000000140651,[광노화 선 케어] 싸이닉 엔조이 슈퍼 마일드 선 에센스 더블 기획 (50ml+50ml),daisomall,1078583,싸이닉 엔조이 아쿠아 마일드 선에센스 60 g,싸이닉,2,2,0.696,1,엔조이 슈퍼 마일드 선 에센스,엔조이 아쿠아 마일드 선에센스
oliveyoung,A000000258878,[가나디 콜라보] 코스알엑스 더 6 펩타이드 화잘먹 세럼 150ml 더블 기획 (+피규어 굿즈),glowpick,168582,더 6 펩타이드 스킨 부스터 세럼,코스알엑스,3,2,0.545,1,더 6 펩타이드 화잘먹 세럼,더 6 펩타이드 스킨 부스터 세럼
oliveyoung,A000000260463,[위클리초특가] 온더바디 발을씻자 코튼 풋샴푸 대용량 510ml (복숭아/쿨링 택1),daisomall,1064512,온더바디 국민뷰티템 풋샴푸 리필 코튼 향 520 ml,온더바디,2,2,0.333,1,발을씻자 코튼 풋샴푸,국민뷰티템 풋샴푸 코튼 향
oliveyoung,A000000165990,[NEW 2세대] 온더바디 발을씻자 코튼 풋샴푸 대용량 510ml 4종 택1(복숭아/레몬/쿨링/자몽),daisomall,1064512,온더바디 국민뷰티템 풋샴푸 리필 코튼 향 520 ml,온더바디,2,2,0.333,1,발을씻자 코튼 풋샴푸,국민뷰티템 풋샴푸 코튼 향
glowpick,171147,리들샷 300 페이셜 부스팅 퍼스트 앰플,daisomall,1049276,[피부결케어]VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2 ml*6개입,vt,6,4,0.941,1,리들샷 300 페이셜 부스팅 퍼스트 앰플,리들샷 300 페이셜 부스팅 퍼스트 앰플 개입
oliveyoung,A000000255324,[수지 PICK/한정기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획 (+피디알엔 마스크 1매),hwahae,2113285,PDRN 히알루론산 캡슐 100 세럼,아누아,4,3,0.733,1,피디알엔 히알루론산 캡슐 100 세럼,pdrn 히알루론산 캡슐 100 세럼
oliveyoung,A000000222698,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),hwahae,2113285,PDRN 히알루론산 캡슐 100 세럼,아누아,4,3,0.733,1,피디알엔 히알루론산 캡슐 100 세럼,pdrn 히알루론산 캡슐 100 세럼
oliveyoung,A000000231894,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml),hwahae,2113285,PDRN 히알루론산 캡슐 100 세럼,아누아,4,3,0.733,1,피디알엔 히알루론산 캡슐 100 세럼,pdrn 히알루론산 캡슐 100 세럼
oliveyoung,A000000184643,[모공쏙폼] 메디필 레드 락토 콜라겐 클리어 폼 2.0 대용량 300ml 기획 (+해면),glowpick,163016,레드 락토 콜라겐 클리어 폼 클렌저 2.0,메디필,5,5,0.828,1,레드 락토 콜라겐 클리어 폼 2.0,레드 락토 콜라겐 클리어 클렌징폼 2.0
oliveyoung,A000000259619,[슈야토야 히퍼/모공쏙폼] 메디필 레드 락토 콜라겐 클리어 폼클렌징 2.0 300ml 한정기획,glowpick,163016,레드 락토 콜라겐 클리어 폼 클렌저 2.0,메디필,5,5,0.812,0,레드 락토 콜라겐 클리어 폼클렌징 2.0,레드 락토 콜라겐 클리어 클렌징폼 2.0
oliveyoung,A000000201324,[원조랩핑] 메디필 레드 락토 콜라겐 랩핑 마스크 70ml (+70ml 더블 기획),daisomall,1053504,메디필 레드 락토 콜라겐 포어 리프팅 마스크 30 ml ,메디필,4,3,0.64,1,레드 락토 콜라겐 랩핑 마스크,레드 락토 콜라겐 포어 리프팅 마스크
oliveyoung,A000000254747,에스트라 아토베리어365 하이드로 수딩크림 80ml 기획(토너25ml+클렌징폼30g),glowpick,169302,아토베리어365 크림,에스트라,2,2,0.667,0,아토베리어 365 하이드로 수딩크림,아토베리어 365 크림
oliveyoung,A000000161165,에스트라 아토베리어365 바디로션 400ml,glowpick,154903,아토베리어365 바디로션,에스트라,3,3,1.0,1,아토베리어 365 바디로션,아토베리어 365 바디로션
oliveyoung,A000000206826,[50%용량증정] 에스트라 더마UV365 장벽수분 무기자차 선크림 40ml+20ml,glowpick,163778,더마UV365 장벽수분 무기자차 선크림 [SPF50+/PA++++],에스트라,4,3,1.0,1,더마uv 벽수분 무기자차 선크림,더마uv 벽수분 무기자차 선크림
oliveyoung,A000000198320,[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml,glowpick,169302,아토베리어365 크림,에스트라,3,2,1.0,1,아토베리어 365 크림,아토베리어 365 크림
oliveyoung,A000000181078,에스트라 더마UV365 장벽수분 무기자차 선크림 40ml,glowpick,163778,더마UV365 장벽수분 무기자차 선크림 [SPF50+/PA++++],에스트라,4,3,1.0,1,더마uv 벽수분 무기자차 선크림,더마uv 벽수분 무기자차 선크림
oliveyoung,A000000254760,[온라인단독/대용량] 에스트라 아토베리어365 크림 80mlX3 한정기획,glowpick,169302,아토베리어365 크림,에스트라,3,2,0.818,0,아토베리어 365 크림 80ml,아토베리어 365 크림
oliveyoung,A000000161167,에스트라 아토베리어365 바디크림 250ml,glowpick,153645,아토베리어365 바디크림,에스트라,3,3,1.0,1,아토베리어 365 바디크림,아토베리어 365 바디크림
oliveyoung,A000000261864,에스트라 아토베리어365 크림 80ml 기획(+토너25ml+클렌징폼3g*3EA),glowpick,169302,아토베리어365 크림,에스트라,3,2,1.0,1,아토베리어 365 크림,아토베리어 365 크림
oliveyoung,A000000258834,에스트라 아토베리어365 하이드로 수딩크림 80ml 기획 (+수딩크림 10ml+클렌징폼 30g),glowpick,169302,아토베리어365 크림,에스트라,2,2,0.667,0,아토베리어 365 하이드로 수딩크림,아토베리어 365 크림
oliveyoung,A000000222837,에스트라 아토베리어365 하이드로에센스 200ml (+크림 10ml+앰플 10ml),glowpick,139838,아토베리어 365 하이드로 에센스,에스트라,2,2,1.0,1,아토베리어 365 하이드로에센스,아토베리어 365 하이드로 에센스
oliveyoung,A000000254747,에스트라 아토베리어365 하이드로 수딩크림 80ml 기획(토너25ml+클렌징폼30g),hwahae,2078467,아토베리어365 크림,에스트라,2,2,0.667,0,아토베리어 365 하이드로 수딩크림,아토베리어 365 크림
oliveyoung,A000000198320,[올영 어워즈 1등 크림] 에스트라 아토베리어365 크림 80ml,hwahae,2078467,아토베리어365 크림,에스트라,3,2,1.0,1,아토베리어 365 크림,아토베리어 365 크림
oliveyoung,A000000254760,[온라인단독/대용량] 에스트라 아토베리어365 크림 80mlX3 한정기획,hwahae,2078467,아토베리어365 크림,에스트라,3,2,0.818,0,아토베리어 365 크림 80ml,아토베리어 365 크림
oliveyoung,A000000261864,에스트라 아토베리어365 크림 80ml 기획(+토너25ml+클렌징폼3g*3EA),hwahae,2078467,아토베리어365 크림,에스트라,3,2,1.0,1,아토베리어 365 크림,아토베리어 365 크림
oliveyoung,A000000258834,에스트라 아토베리어365 하이드로 수딩크림 80ml 기획 (+수딩크림 10ml+클렌징폼 30g),hwahae,2078467,아토베리어365 크림,에스트라,2,2,0.667,0,아토베리어 365 하이드로 수딩크림,아토베리어 365 크림
glowpick,169302,아토베리어365 크림,hwahae,2078467,아토베리어365 크림,에스트라,3,2,1.0,1,아토베리어 365 크림,아토베리어 365 크림
oliveyoung,A000000117842,[손상케어] 헤어플러스 단백질 본드 트리트먼트 210ml 한정/더블기획,daisomall,1061002,[손상모발]헤어플러스 단백질 본드 트리트먼트 플라워 가든 180 ml,헤어플러스,3,2,0.783,1,단백질 본드 트리트먼트,단백질 본드 트리트먼트 플라워 가든
oliveyoung,A000000176460,[온라인단독/대용량]헤어플러스 단백질 본드 샴푸 1000ml,daisomall,1061001,[손상모발]헤어플러스 단백질 본드 샴푸 플라워 가든 300 ml,헤어플러스,3,2,0.706,1,단백질 본드 샴푸,단백질 본드 샴푸 플라워 가든
oliveyoung,A000000210303,[1등][손상모 케어] 헤어플러스 단백질 본드 워터에센스 200ml+50ml 기획,daisomall,1061004,[손상모발]헤어플러스 단백질 본드 워터 에센스 플라워 가든 100 ml,헤어플러스,2,2,0.783,1,단백질 본드 워터에센스,단백질 본드 워터 에센스 플라워 가든
oliveyoung,A000000125539,"[1등/열기구,염색,펌 손상모 개선] 헤어플러스 단백질 본드 앰플에센스 70ml 2개입 한정/단독기획",daisomall,1061003,[손상모발]헤어플러스 단백질 본드 앰플 에센스 플라워 가든 65 ml,헤어플러스,2,2,0.783,1,단백질 본드 앰플에센스,단백질 본드 앰플 에센스 플라워 가든
glowpick,189947,라벨르 로즈 하이라이터,daisomall,1080533,[81 퓨어 에끌라]프릴루드 딘토 라벨르 로즈 하이라이터,딘토,3,3,1.0,1,라벨르 로즈 하이라이터,라벨르 로즈 하이라이터
oliveyoung,A000000184060,[1등레티놀] 아이오페 레티놀 슈퍼 바운스 세럼 30ml 기획 (+세럼 10ml+바이오에센스48ml),glowpick,164753,레티놀 슈퍼 바운스 세럼,아이오페,4,3,1.0,1,레티놀 슈퍼 바운스 세럼,레티놀 슈퍼 바운스 세럼
glowpick,173327,워터 베일 틴트,daisomall,1079397,[10 애플워터] 본셉 워터 베일 틴트,본셉,3,3,0.833,1,워터 베일 틴트,본셉 워터 베일 틴트
oliveyoung,A000000226515,[8월올영픽/3일진정세럼]브링그린 징크테카 트러블 세럼 대용량 기획,glowpick,166653,징크테카 트러블 세럼,브링그린,3,2,1.0,1,징크테카 트러블 세럼,징크테카 트러블 세럼
oliveyoung,A000000200646,[8월올영픽/3일진정세럼]브링그린 징크테카 트러블 세럼 대용량 기획,glowpick,166653,징크테카 트러블 세럼,브링그린,3,2,1.0,1,징크테카 트러블 세럼,징크테카 트러블 세럼
oliveyoung,A000000120656,투쿨포스쿨 프로타주 펜슬 (기획/단품),glowpick,106591,아트클래스 프로타주 펜슬,투쿨포스쿨,2,2,0.667,1,프로타주 펜슬,아트클래스 프로타주 펜슬
