product_ref,source,product_key,name,brand,volume,name_norm
ol:A000000255324,oliveyoung,A000000255324,[수지 PICK/한정기획] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 더블기획 (+피디알엔 마스크 1매),아누아,,피디알엔 히알루론산 캡슐 100 세럼
ol:A000000255324,hwahae,2113285,PDRN 히알루론산 캡슐 100 세럼,아누아,30 mL / 1.01 fl.oz.,pdrn 히알루론산 캡슐 100 세럼
ol:A000000255324,oliveyoung,A000000222698,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),아누아,,피디알엔 히알루론산 캡슐 100 세럼
ol:A000000255324,oliveyoung,A000000231894,[수지세럼] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml),아누아,,피디알엔 히알루론산 캡슐 100 세럼
ol:A000000201324,daisomall,1053504,메디필 레드 락토 콜라겐 포어 리프팅 마스크 30 ml ,메디필,,레드 락토 콜라겐 포어 리프팅 마스크
ol:A000000201324,oliveyoung,A000000201324,[원조랩핑] 메디필 레드 락토 콜라겐 랩핑 마스크 70ml (+70ml 더블 기획),메디필,,레드 락토 콜라겐 랩핑 마스크
ol:A000000200106,glowpick,171030,베러 미 아이 팔레트,투에이엔,4.5g,베러 미 아이 팔레트
ol:A000000200106,oliveyoung,A000000200106,[NEW] 투에이엔 베러 미 아이 팔레트 19 colors (기획/단품),투에이엔,,베러 미 아이 팔레트
ol:A000000258889,glowpick,190033,하이라이터 EX,글린트 바이 비디보브,4.5g,하이라이터 ex
ol:A000000258889,oliveyoung,A000000258889,[NEW/8월올영픽/아일릿 민주 PICK]글린트 하이라이터EX (+브러쉬 증정/아이돌 핑크빔),글린트,,하이라이터ex
da:1079397,daisomall,1079397,[10 애플워터] 본셉 워터 베일 틴트,본셉 메이크업,,본셉 워터 베일 틴트
da:1079397,glowpick,173327,워터 베일 틴트,본셉,4.5g,워터 베일 틴트
da:1079397,daisomall,1079393,[06 스트로베리워터] 본셉 워터 베일 틴트,본셉 메이크업,,본셉 워터 베일 틴트
gl:189947,glowpick,189947,라벨르 로즈 하이라이터,프릴루드 딘토,4g,라벨르 로즈 하이라이터
gl:189947,daisomall,1080533,[81 퓨어 에끌라]프릴루드 딘토 라벨르 로즈 하이라이터,프릴루드 딘토,,라벨르 로즈 하이라이터
gl:189947,daisomall,1080536,[83 로지 에끌라]프릴루드 딘토 라벨르 로즈 하이라이터,프릴루드 딘토,,라벨르 로즈 하이라이터
ol:A000000258468,glowpick,190011,바쿠 글로우 캡슐 로션,온그리디언츠,150ml,바쿠 글로우 캡슐 로션
ol:A000000258468,oliveyoung,A000000258468,[NEW] 온그리디언츠 바쿠글로우 캡슐 로션 150ml,온그리디언츠,,바쿠글로우 캡슐 로션
ol:A000000261603,oliveyoung,A000000261603,"[NEW/지성파데프리] 조선미녀 데이스크린 틴티드 선크림 40ml (퍼프,미니 증정/단품)",조선미녀,,데이스크린 틴티드 선크림
ol:A000000261603,glowpick,190652,데이스크린 틴티드 선크림 [SPF50+/PA++++],조선미녀,40ml,데이스크린 틴티드 선크림
ol:A000000125539,daisomall,1061003,[손상모발]헤어플러스 단백질 본드 앰플 에센스 플라워 가든 65 ml,헤어플러스,,단백질 본드 앰플 에센스 플라워 가든
ol:A000000125539,oliveyoung,A000000125539,"[1등/열기구,염색,펌 손상모 개선] 헤어플러스 단백질 본드 앰플에센스 70ml 2개입 한정/단독기획",헤어플러스,,단백질 본드 앰플에센스
