source,board,category_key,product_key,day_kst,n,n_snapshots,present_share,rank_mean,rank_min,rank_max,price_mode
daisomall,review,CTGR_01050,048043036,2026-08-19,2,2,1.0,35.5,34,37,1000
daisomall,review,CTGR_01050,048043036,2026-08-20,1,1,1.0,41,41,41,1000
daisomall,review,CTGR_01050,1001375,2026-08-19,2,2,1.0,65,64,66,1000
daisomall,review,CTGR_01050,1001375,2026-08-20,1,1,1.0,69,69,69,1000
daisomall,review,CTGR_01050,1001375,2026-08-21,17,17,1.0,90.2,79,93,1000
daisomall,review,CTGR_01050,1001375,2026-08-22,23,24,0.96,96.4,92,100,1000
daisomall,review,CTGR_01050,1004164,2026-08-23,5,24,0.21,65,63,73,2000
daisomall,review,CTGR_01050,1004164,2026-08-24,2,2,1.0,73,73,73,2000
daisomall,review,CTGR_01050,1004337,2026-08-22,5,24,0.21,4.2,4,5,1500
daisomall,review,CTGR_01050,1004337,2026-08-23,24,24,1.0,9.0,5,13,1500
daisomall,review,CTGR_01050,1004337,2026-08-24,2,2,1.0,8,8,8,1500
daisomall,review,CTGR_01050,1010972,2026-08-19,1,2,0.5,92,92,92,3000
daisomall,review,CTGR_01050,1012680,2026-08-19,2,2,1.0,51,48,54,1000
daisomall,review,CTGR_01050,1012680,2026-08-20,1,1,1.0,56,56,56,1000
daisomall,review,CTGR_01050,1012680,2026-08-21,17,17,1.0,72.5,62,76,1000
daisomall,review,CTGR_01050,1012680,2026-08-22,3,24,0.12,72,72,72,1000
daisomall,review,CTGR_01050,1016426,2026-08-19,2,2,1.0,16.5,15,18,1000
daisomall,review,CTGR_01050,1016426,2026-08-20,1,1,1.0,22,22,22,1000
daisomall,review,CTGR_01050,1016426,2026-08-21,15,17,0.88,36.5,32,39,1000
daisomall,review,CTGR_01050,1016426,2026-08-22,24,24,1.0,38.6,32,47,1000
daisomall,review,CTGR_01050,1016426,2026-08-23,24,24,1.0,52,47,57,1000
daisomall,review,CTGR_01050,1016426,2026-08-24,2,2,1.0,51,51,51,1000
daisomall,review,CTGR_01050,1017947,2026-08-21,6,17,0.35,4.3,2,6,1000
daisomall,review,CTGR_01050,1017947,2026-08-22,12,24,0.5,98,97,99,1000
daisomall,review,CTGR_01050,1022826,2026-08-22,17,24,0.71,55.2,49,64,3000
daisomall,review,CTGR_01050,1022826,2026-08-23,24,24,1.0,68,64,72,3000
daisomall,review,CTGR_01050,1022826,2026-08-24,2,2,1.0,72,72,72,3000
daisomall,review,CTGR_01050,1024954,2026-08-19,2,2,1.0,57,56,58,1000
daisomall,review,CTGR_01050,1024954,2026-08-20,1,1,1.0,62,62,62,1000
daisomall,review,CTGR_01050,1024954,2026-08-21,17,17,1.0,75.3,68,78,1000
daisomall,review,CTGR_01050,1024954,2026-08-22,24,24,1.0,80.4,75,86,1000
daisomall,review,CTGR_01050,1024954,2026-08-23,24,24,1.0,94.9,86,99,1000
daisomall,review,CTGR_01050,1024954,2026-08-24,2,2,1.0,95,95,95,1000
daisomall,review,CTGR_01050,1026241,2026-08-22,6,24,0.25,100,100,100,500
daisomall,review,CTGR_01050,1027369,2026-08-21,15,17,0.88,5.5,2,9,5000
daisomall,review,CTGR_01050,1027369,2026-08-22,24,24,1.0,12.4,8,16,5000
daisomall,review,CTGR_01050,1027369,2026-08-23,19,24,0.79,18.5,16,21,5000
daisomall,review,CTGR_01050,1029181,2026-08-22,11,24,0.46,2.5,2,4,2000
daisomall,review,CTGR_01050,1029181,2026-08-23,24,24,1.0,7.1,4,12,2000
daisomall,review,CTGR_01050,1029181,2026-08-24,2,2,1.0,7,7,7,2000
daisomall,review,CTGR_01050,1030628,2026-08-19,1,2,0.5,46,46,46,2000
daisomall,review,CTGR_01050,1030628,2026-08-20,1,1,1.0,48,48,48,2000
daisomall,review,CTGR_01050,1030628,2026-08-21,17,17,1.0,64,55,69,2000
daisomall,review,CTGR_01050,1030628,2026-08-22,24,24,1.0,68.5,61,80,2000
daisomall,review,CTGR_01050,1030628,2026-08-23,24,24,1.0,83.7,77,89,2000
daisomall,review,CTGR_01050,1030628,2026-08-24,2,2,1.0,89,89,89,2000
daisomall,review,CTGR_01050,1032758,2026-08-23,21,24,0.88,59.9,56,64,1000
daisomall,review,CTGR_01050,1032758,2026-08-24,2,2,1.0,62,62,62,1000
daisomall,review,CTGR_01050,1034515,2026-08-23,4,24,0.17,11,11,11,500
daisomall,review,CTGR_01050,1035653,2026-08-19,2,2,1.0,48,45,51,1000
daisomall,review,CTGR_01050,1035653,2026-08-20,1,1,1.0,59,59,59,1000
daisomall,review,CTGR_01050,1035653,2026-08-21,17,17,1.0,70.2,66,77,1000
daisomall,review,CTGR_01050,1035653,2026-08-22,24,24,1.0,75.4,72,89,1000
daisomall,review,CTGR_01050,1035653,2026-08-23,24,24,1.0,89.9,88,98,1000
daisomall,review,CTGR_01050,1035653,2026-08-24,2,2,1.0,98,98,98,1000
daisomall,review,CTGR_01050,1036313,2026-08-19,2,2,1.0,78,72,84,3000
daisomall,review,CTGR_01050,1036313,2026-08-20,1,1,1.0,86,86,86,3000
daisomall,review,CTGR_01050,1036313,2026-08-21,5,17,0.29,98.6,98,99,3000
daisomall,review,CTGR_01050,1038595,2026-08-19,1,2,0.5,83,83,83,5000
daisomall,review,CTGR_01050,1038595,2026-08-20,1,1,1.0,85,85,85,5000
daisomall,review,CTGR_01050,1038595,2026-08-21,6,17,0.35,98,97,100,5000
daisomall,review,CTGR_01050,10387,2026-08-21,17,17,1.0,80.2,71,84,1500
daisomall,review,CTGR_01050,10387,2026-08-22,24,24,1.0,88.2,84,97,1500
daisomall,review,CTGR_01050,10387,2026-08-23,3,24,0.12,97,97,97,1500
daisomall,review,CTGR_01050,1039494,2026-08-23,5,24,0.21,54.8,54,55,3000
daisomall,review,CTGR_01050,1039494,2026-08-24,2,2,1.0,54,54,54,3000
daisomall,review,CTGR_01050,1042378,2026-08-19,2,2,1.0,44.5,44,45,1000
daisomall,review,CTGR_01050,1042378,2026-08-20,1,1,1.0,47,47,47,1000
daisomall,review,CTGR_01050,1042378,2026-08-21,17,17,1.0,65.1,56,68,1000
daisomall,review,CTGR_01050,1042378,2026-08-22,24,24,1.0,70.0,65,79,1000
daisomall,review,CTGR_01050,1042378,2026-08-23,24,24,1.0,84.4,79,88,1000
daisomall,review,CTGR_01050,1042378,2026-08-24,2,2,1.0,88,88,88,1000
daisomall,review,CTGR_01050,1042560,2026-08-19,2,2,1.0,15.5,14,17,1000
daisomall,review,CTGR_01050,1042560,2026-08-20,1,1,1.0,21,21,21,1000
daisomall,review,CTGR_01050,1042560,2026-08-21,17,17,1.0,34.6,28,38,1000
daisomall,review,CTGR_01050,1042560,2026-08-22,4,24,0.17,35.5,32,46,1000
daisomall,review,CTGR_01050,1042560,2026-08-23,24,24,1.0,51,46,56,1000
daisomall,review,CTGR_01050,1042560,2026-08-24,2,2,1.0,50,50,50,1000
daisomall,review,CTGR_01050,1044553,2026-08-19,2,2,1.0,14.5,13,16,5000
daisomall,review,CTGR_01050,1044553,2026-08-20,1,1,1.0,20,20,20,5000
daisomall,review,CTGR_01050,1044553,2026-08-21,17,17,1.0,33.6,27,37,5000
daisomall,review,CTGR_01050,1044553,2026-08-22,24,24,1.0,37.4,31,45,5000
daisomall,review,CTGR_01050,1044553,2026-08-23,24,24,1.0,50,45,55,5000
daisomall,review,CTGR_01050,1044553,2026-08-24,2,2,1.0,49,49,49,5000
daisomall,review,CTGR_01050,1044557,2026-08-21,17,17,1.0,52.3,49,54,2000
