src,ref_id,video_id,brand,count,cooc_count,published_at
title,03vI9Y8ORPA,03vI9Y8ORPA,올리브영,1,1,2026-07-01 11:21:03+00
title,07YdnpQD1nE,07YdnpQD1nE,스킨푸드,1,1,2025-09-01 04:10:21+00
title,0BdTpEpjRU4,0BdTpEpjRU4,레이어랩,1,1,2025-02-23 09:00:00+00
title,0cmuY6aRsTo,0cmuY6aRsTo,힌스,1,1,2026-02-09 13:16:31+00
title,0HtxT19MgDo,0HtxT19MgDo,올리브영,1,0,2024-09-13 07:00:00+00
title,0k4Fu2DQwuw,0k4Fu2DQwuw,이즈앤트리,1,0,2026-04-29 12:14:29+00
title,0LUv2MtlEAk,0LUv2MtlEAk,미샤,1,0,2021-10-29 12:17:10+00
title,0Py0xCBCq8E,0Py0xCBCq8E,페리페라,1,1,2026-06-04 11:06:02+00
title,0q9k6WxdOU4,0q9k6WxdOU4,올리브영,1,1,2026-08-01 12:26:22+00
title,0q9k6WxdOU4,0q9k6WxdOU4,조선미녀,1,1,2026-08-01 12:26:22+00
title,1gpxQNncbB0,1gpxQNncbB0,스킨푸드,1,1,2025-08-31 04:09:41+00
title,1hCm58jzquQ,1hCm58jzquQ,BTS,1,0,2023-11-17 19:00:10+00
title,1KZBq0FunRc,1KZBq0FunRc,올리브영,1,1,2026-01-19 08:54:51+00
title,1Msx9G6XltA,1Msx9G6XltA,메종 마르지엘라,1,0,2026-05-20 11:21:18+00
title,1rVfXPPkMr8,1rVfXPPkMr8,올리브영,1,0,2025-11-29 12:30:24+00
title,23C87XdDtA8,23C87XdDtA8,하트퍼센트,1,1,2026-01-11 10:06:51+00
title,2dCJ8cu05Ug,2dCJ8cu05Ug,릴리바이레드,1,0,2026-01-11 12:00:04+00
title,2-J2F5djXh4,2-J2F5djXh4,맥,1,1,2016-09-29 01:35:56+00
title,2-J2F5djXh4,2-J2F5djXh4,나스,1,1,2016-09-29 01:35:56+00
title,2M3eJESkSac,2M3eJESkSac,페리페라,1,1,2026-01-22 12:05:57+00
title,2PCgnKC5Bko,2PCgnKC5Bko,셀라딕스,1,0,2026-03-21 13:09:17+00
title,2pT4RyxuGFI,2pT4RyxuGFI,에뛰드,1,0,2013-03-04 08:58:19+00
title,2Y2mY9ZlqDw,2Y2mY9ZlqDw,구달,1,1,2026-07-28 13:59:35+00
title,35IAYCh_nTc,35IAYCh_nTc,올리브영,1,0,2026-05-29 10:30:14+00
title,36Zy0T6dIp8,36Zy0T6dIp8,리얼베리어,1,0,2025-08-28 08:35:31+00
title,3aNuNklmOtU,3aNuNklmOtU,카밀,1,0,2026-08-20 13:39:52+00
title,3EhQp_L8z6I,3EhQp_L8z6I,미샤,1,0,2020-03-24 12:26:16+00
title,3EhQp_L8z6I,3EhQp_L8z6I,에뛰드,1,0,2020-03-24 12:26:16+00
title,3EhQp_L8z6I,3EhQp_L8z6I,이니스프리,1,0,2020-03-24 12:26:16+00
title,3Hr0KsjPuMM,3Hr0KsjPuMM,투쿨포스쿨,1,1,2026-04-18 11:29:22+00
title,3Hr0KsjPuMM,3Hr0KsjPuMM,터치인솔,1,1,2026-04-18 11:29:22+00
title,3Hr0KsjPuMM,3Hr0KsjPuMM,연작,1,1,2026-04-18 11:29:22+00
title,3Hr0KsjPuMM,3Hr0KsjPuMM,오휘,1,0,2026-04-18 11:29:22+00
title,3JDm_mZUgBE,3JDm_mZUgBE,올리브영,1,1,2026-05-12 10:20:51+00
title,3KyYb8eUFzQ,3KyYb8eUFzQ,나스,2,2,2026-03-27 09:13:32+00
title,3lwZifxyv9A,3lwZifxyv9A,셀라딕스,1,0,2025-12-13 03:45:45+00
title,40y52ItYPgk,40y52ItYPgk,이니스프리,1,0,2026-08-03 07:50:10+00
title,41KeYTmV-CI,41KeYTmV-CI,아로마티카,1,0,2023-09-26 12:30:03+00
title,43eNGSeQTVo,43eNGSeQTVo,정샘물,1,1,2026-01-04 10:49:00+00
title,43eNGSeQTVo,43eNGSeQTVo,줌 바이 정샘물,1,1,2026-01-04 10:49:00+00
title,49q9wmZkH_s,49q9wmZkH_s,퓌,1,0,2026-07-16 12:10:16+00
title,4a3aN1HUuxs,4a3aN1HUuxs,셀퓨전씨,1,0,2026-03-31 11:40:00+00
title,4a3aN1HUuxs,4a3aN1HUuxs,올리브영,1,0,2026-03-31 11:40:00+00
title,4cDRxEVyYVw,4cDRxEVyYVw,올리브영,1,0,2025-12-18 11:09:03+00
title,4DLJsMcibpQ,4DLJsMcibpQ,에이오유,1,1,2025-10-25 13:00:01+00
title,4DLJsMcibpQ,4DLJsMcibpQ,페리페라,1,1,2025-10-25 13:00:01+00
title,4jAw3o2_czs,4jAw3o2_czs,올리브영,1,0,2025-07-17 12:01:54+00
title,4PvnNlPTU2s,4PvnNlPTU2s,힌스,1,1,2026-04-29 13:14:26+00
title,4PvnNlPTU2s,4PvnNlPTU2s,페리페라,1,1,2026-04-29 13:14:26+00
title,4PvnNlPTU2s,4PvnNlPTU2s,VDL,1,1,2026-04-29 13:14:26+00
title,4PvnNlPTU2s,4PvnNlPTU2s,비디비치,1,1,2026-04-29 13:14:26+00
title,4PvnNlPTU2s,4PvnNlPTU2s,어뮤즈,1,1,2026-04-29 13:14:26+00
title,4-YcPmQAPd8,4-YcPmQAPd8,VT,1,0,2018-09-01 01:00:02+00
title,50igoSRnYIk,50igoSRnYIk,샤넬,2,2,2026-05-15 13:10:04+00
title,50igoSRnYIk,50igoSRnYIk,라카,1,1,2026-05-15 13:10:04+00
title,51c4bpX1hp8,51c4bpX1hp8,롬앤,1,1,2026-04-09 13:00:18+00
title,51c4bpX1hp8,51c4bpX1hp8,어뮤즈,1,1,2026-04-09 13:00:18+00
title,51c4bpX1hp8,51c4bpX1hp8,데이지크,1,1,2026-04-09 13:00:18+00
title,56XGJOU-UNw,56XGJOU-UNw,나스,1,0,2026-02-10 10:00:00+00
title,5AKXE87C99s,5AKXE87C99s,올리브영,1,1,2026-07-28 13:23:27+00
title,5Cj7MKd8-zg,5Cj7MKd8-zg,샤넬,1,0,2026-08-07 12:00:10+00
title,5I3dP3Cyrxs,5I3dP3Cyrxs,비레디,1,1,2024-10-07 12:21:00+00
title,5I3dP3Cyrxs,5I3dP3Cyrxs,오브제,1,1,2024-10-07 12:21:00+00
title,5I3dP3Cyrxs,5I3dP3Cyrxs,듀이셀,1,1,2024-10-07 12:21:00+00
title,5I3dP3Cyrxs,5I3dP3Cyrxs,올리브영,1,1,2024-10-07 12:21:00+00
title,5SlUs2Eph4Y,5SlUs2Eph4Y,올리브영,1,0,2025-04-04 07:00:04+00
title,5z3C5slGcIs,5z3C5slGcIs,이니스프리,1,0,2020-03-03 10:54:22+00
title,69ywWbwB7XY,69ywWbwB7XY,톰,1,0,2025-03-06 10:00:09+00
title,6JOepA0yM5s,6JOepA0yM5s,에스쁘아,1,1,2026-03-28 12:10:01+00
title,6JOepA0yM5s,6JOepA0yM5s,무지개맨션,1,1,2026-03-28 12:10:01+00
title,6JOepA0yM5s,6JOepA0yM5s,홀리카홀리카,1,1,2026-03-28 12:10:01+00
title,6LgvY6rH5x4,6LgvY6rH5x4,올리브영,1,0,2024-09-08 11:51:00+00
title,6lTTPMIlLJo,6lTTPMIlLJo,올리브영,1,0,2024-05-30 10:00:09+00
title,6NK4VnU4pPg,6NK4VnU4pPg,바세린,1,0,2026-02-10 09:19:41+00
title,6OKmRa0EPjs,6OKmRa0EPjs,올리브영,1,0,2022-02-02 04:00:06+00
title,6Twbg40ocXk,6Twbg40ocXk,페리페라,1,1,2026-06-03 14:00:54+00
title,6Twbg40ocXk,6Twbg40ocXk,컬러그램,1,1,2026-06-03 14:00:54+00
title,72pb-TjCPn4,72pb-TjCPn4,올리브영,1,1,2026-05-30 06:08:05+00
title,73rFxSyiHNg,73rFxSyiHNg,마녀공장,1,0,2026-04-24 04:28:46+00
title,73rFxSyiHNg,73rFxSyiHNg,VT,1,0,2026-04-24 04:28:46+00
title,7-BFCw1bFLU,7-BFCw1bFLU,아로셀,1,1,2025-11-27 09:00:10+00
title,7dw754_bo8c,7dw754_bo8c,프레시안,1,1,2026-07-31 13:15:37+00
title,7FLrtmQ96FY,7FLrtmQ96FY,에뛰드,2,1,2026-01-28 11:30:08+00
title,7MdXfbnY_cQ,7MdXfbnY_cQ,네이밍,1,1,2026-05-07 12:29:17+00
title,7MdXfbnY_cQ,7MdXfbnY_cQ,퓌,1,1,2026-05-07 12:29:17+00
title,7MdXfbnY_cQ,7MdXfbnY_cQ,라네즈,1,1,2026-05-07 12:29:17+00
title,7o2uJZ6u2Rc,7o2uJZ6u2Rc,올리브영,1,1,2026-08-04 08:30:26+00
title,7oqCnwCVaQM,7oqCnwCVaQM,홀리카홀리카,1,0,2026-05-27 08:50:57+00
title,7saNGMWJzpg,7saNGMWJzpg,디올,1,1,2025-04-03 10:00:15+00
title,7WCLv6iTMB0,7WCLv6iTMB0,스킨푸드,2,1,2021-04-08 14:45:30+00
title,83GLTwHCMsc,83GLTwHCMsc,바세린,1,0,2025-11-18 08:56:42+00
title,8EHoAP0AwjA,8EHoAP0AwjA,올리브영,1,1,2026-08-01 07:00:27+00
title,8f7QDu-YmMo,8f7QDu-YmMo,올리브영,1,1,2024-12-08 12:21:00+00
title,8FpgoWHaQlM,8FpgoWHaQlM,올리브영,2,0,2025-11-23 11:30:05+00
title,8GCR2-ehoqQ,8GCR2-ehoqQ,올리브영,1,1,2026-01-26 04:23:21+00
title,8JGi5ShcaNM,8JGi5ShcaNM,웨이크메이크,1,0,2026-04-01 13:13:46+00
title,8Ju1-RuEK-I,8Ju1-RuEK-I,디올,1,0,2026-06-22 12:30:22+00
title,8kngyeESPeU,8kngyeESPeU,라네즈,1,1,2025-11-30 09:30:44+00
title,8NL6bB_UOf0,8NL6bB_UOf0,올리브영,1,1,2025-05-01 02:01:51+00
title,8opSJqTjEVo,8opSJqTjEVo,에스티로더,1,1,2026-07-24 10:00:29+00
title,8t7gZ622axI,8t7gZ622axI,쿼드쎄라,1,0,2026-01-13 11:11:05+00
title,8TWGkr5Vfls,8TWGkr5Vfls,투에이엔,1,0,2025-11-13 13:06:55+00
title,8ZkZTU0v58s,8ZkZTU0v58s,페리페라,1,1,2026-02-22 12:00:01+00
title,8ZkZTU0v58s,8ZkZTU0v58s,에뛰드,1,1,2026-02-22 12:00:01+00
title,8ZkZTU0v58s,8ZkZTU0v58s,올리브영,1,1,2026-02-22 12:00:01+00
title,8_zSonq7_SY,8_zSonq7_SY,온그리디언츠,1,1,2026-06-29 09:00:14+00
title,9aJMeoplXoE,9aJMeoplXoE,니베아,1,0,2025-12-30 09:40:29+00
title,9ES-4LfsWF0,9ES-4LfsWF0,바세린,1,1,2017-11-10 08:33:01+00
title,9fBJOm3gfEw,9fBJOm3gfEw,올리브영,1,0,2025-11-01 02:35:46+00
title,9fBJOm3gfEw,9fBJOm3gfEw,에뛰드,1,0,2025-11-01 02:35:46+00
title,9kv5IFl7zTc,9kv5IFl7zTc,올리브영,1,0,2025-04-17 03:02:15+00
title,9obCgHlUVMA,9obCgHlUVMA,피지오겔,2,0,2025-05-13 14:48:48+00
title,9oBp8ATFh9g,9oBp8ATFh9g,올리브영,1,0,2024-11-05 08:20:18+00
title,9XNHrxMxSbk,9XNHrxMxSbk,바세린,1,1,2022-01-26 13:13:49+00
title,9XNHrxMxSbk,9XNHrxMxSbk,니베아,1,1,2022-01-26 13:13:49+00
title,9Y_924DYCIg,9Y_924DYCIg,퓌,1,1,2026-05-06 11:22:01+00
title,a1TccsfoZnc,a1TccsfoZnc,로레알,1,0,2021-05-28 14:37:44+00
title,a3L1KwAsmXo,a3L1KwAsmXo,쥬베룩,2,0,2025-08-26 13:00:00+00
title,A7fTDNeZmX8,A7fTDNeZmX8,올리브영,1,1,2026-06-15 09:30:12+00
title,aAG3FzrqdJs,aAG3FzrqdJs,올리브영,1,0,2024-05-30 15:14:45+00
title,AbaUFVl_wPM,AbaUFVl_wPM,리쥬란,1,1,2026-01-26 08:00:10+00
