kind,key,mentions,likes,like_per_mention,months_present,first,last,videos,channels,max_like,shape,example,example2,example2_like
format×attr,색상/호수 확장,97,931,9.6,12,2024-08,2026-08,54,19,138,broad,페리페라의 역작 앳지누드… 재출시해주세요ㅠㅠ,전 다써봤는데 이번에 헤라cc바르고 감격했어여 제가찾던 발림성 커버력 색상ㅎㅎ나스는 너무 매트하고 안가려지고 디어달리아는 왜케 빨리 무너지던지..헤라 진짜 열일했더라구여 단종되면 안되여!!!ㅜㅜ진짜 널리널리 알려야해영ㅋㅋ❤,128
format×attr,단종/재출시,82,1772,21.6,12,2016-08,2026-08,58,32,494,broad,제발 단종시키지마세요....,달방아 콩콩해 단종 절대 안됩니다...,245
format×attr,국내출시/입점/유통,64,313,4.9,10,2023-08,2026-08,56,28,112,broad,이니스프리랑 에뛰드는 한국에서도 줄줄 폐업 중이죠 ㅎ...,"아니 브이티 리들샷은 워낙 한국에서도 유명하지만, 사실 시카의 찐 원조임.",53
format×attr,가격/가성비,32,804,25.1,11,2025-08,2026-08,32,19,281,broad,피몽쉐 가격만 개비싸지 별거없네 가격 내려라,런칭하기 전 인플루언서들한테 쫙 뿌리는 마케팅 대신 가격을 낮춰보세요,255
format×attr,에센스/세럼/앰플,28,53,1.9,10,2025-08,2026-08,24,8,28,persistent,레이어랩 기미색소 세럼 아침저녁으로 쓰는데요 50ml도 있으면 좋을거같아요,@J @Jaina0 니오좀 판테놀 세럼도 좀 더 가벼운 버전도 나왔으면 좋겠어요 ㅠㅠ,5
format×attr,쿠션,26,77,3.0,9,2025-08,2026-07,18,10,23,persistent,지나언니… 제발 1번 파우더 팩트형두 만들어주시면안대요…?,나중에 혹~~시라도 기회가 된다면 팩트(?) 구워진 타입(?) 으로 출시되었으면 하는 바람도 슬쩍 남겨봅니다…//,14
format×attr,립틴트/립스틱,24,208,8.7,8,2021-08,2026-08,14,9,58,thin,올해는 블러틴트 마니 나왔으면 좋겠어요,매트립도 다양하게 나왔으면 좋겠어요 ㅠㅠㅠ,52
format×attr,대용량,23,859,37.3,9,2024-08,2026-08,20,13,731,persistent,그럼 작은 용량 좀 만들어라!!!!ㅜㅠㅠㅠㅠㅠ,대량으로 만드셔서 단가좀 낮춰주시고 용량좀 넉넉하게 출시해주세용ㅜㅜㅜ,55
format×attr,선크림,22,20,0.9,5,2024-08,2026-08,20,8,10,thin,그런 선크림은 없을까요?,바디 선크림 빨리 출시해주세요,5
format×attr,립틴트/립스틱 × 색상/호수 확장,21,87,4.1,6,2024-08,2026-08,9,7,44,thin,컬러 립밤도 만들어주시면 좋겠어요...,"다양한 색상의 립이 나오는 건 좋은데 매트 립이 적어서 아쉬워요… 립매트 하나 사서 써봤는데 대가리 금방 부러져서 오래 쓰지도 못 했어요,, 매트 틴트도 많이 내주세요!!",15
