need_key,neg,pos,yt_neg,yt_pos,share_of_complaints,strength_mean,strength_low_rating_ratio,yt_like_mean,persist_months,persist_months_ratio,persist_products,persist_products_ratio,unresolved_ratio,unresolved_ratio_new2026,site_topic_covers
밀림,93,38,42,9,0.168,0.59,0.68,2.1,19/39,0.49,4/11,0.36,0.71,0.66,False
끈적유분,86,122,158,63,0.155,0.38,0.31,2.1,17/39,0.44,5/11,0.45,0.41,0.34,False
자극따가움,79,13,50,9,0.142,0.64,0.81,23.2,28/39,0.72,4/11,0.36,0.86,0.76,True
트러블,73,23,136,41,0.132,0.59,0.73,3.7,20/39,0.51,3/11,0.27,0.76,0.81,False
색상어두움,46,4,2,0,0.083,0.61,0.85,0,7/39,0.18,1/11,0.09,0.92,0.92,False
기타불만,44,2,33,12,0.079,0.7,0.89,2.9,13/39,0.33,3/11,0.27,0.96,1.0,False
건조,36,11,148,35,0.065,0.42,0.5,3.8,16/39,0.41,4/11,0.36,0.77,0.74,False
답답무거움,25,47,61,18,0.045,0.28,0.28,3.0,8/39,0.21,3/11,0.27,0.35,0.33,False
백탁,24,128,52,64,0.043,0.49,0.58,0.7,8/39,0.21,5/11,0.45,0.16,0.18,False
눈시림,23,40,53,52,0.041,0.5,0.57,2.2,12/39,0.31,4/11,0.36,0.37,0.13,False
향,11,7,9,6,0.02,0.2,0.09,69.3,3/39,0.08,4/11,0.36,0.61,0.71,False
지속력워터,5,6,4,32,0.009,0.48,0.6,1.5,4/39,0.1,2/11,0.18,0.45,0.45,False
발림텍스처,4,58,3,20,0.007,0.38,0.25,4,3/39,0.08,4/11,0.36,0.06,0.06,True
용량가격,3,10,5,40,0.005,0.4,0.33,0.8,3/39,0.08,2/11,0.18,0.23,0.23,False
톤업색상,3,14,8,23,0.005,0.73,1.0,1.9,2/39,0.05,1/11,0.09,0.18,0.23,False
