need_key,product_ref,low_sample,complaint_reviews_in_low,ratio_in_low,site_low_pct,site_review_count,pop_share_pct
밀림,oy:A000000184352,150,21,0.14,0.03,8791,0.42
밀림,oy:A000000248065,150,8,0.053,0.1,3514,0.53
밀림,oy:A000000257580,60,24,0.4,0.0,11391,0.0
자극따가움,oy:A000000184352,150,44,0.293,0.03,8791,0.88
자극따가움,oy:A000000248065,150,7,0.047,0.1,3514,0.47
자극따가움,oy:A000000257580,60,6,0.1,0.0,11391,0.0
트러블,oy:A000000184352,150,23,0.153,0.03,8791,0.46
트러블,oy:A000000248065,150,26,0.173,0.1,3514,1.73
트러블,oy:A000000257580,60,4,0.067,0.0,11391,0.0
끈적유분,oy:A000000184352,150,24,0.16,0.03,8791,0.48
끈적유분,oy:A000000248065,150,20,0.133,0.1,3514,1.33
끈적유분,oy:A000000257580,60,6,0.1,0.0,11391,0.0
건조,oy:A000000184352,150,11,0.073,0.03,8791,0.22
건조,oy:A000000248065,150,6,0.04,0.1,3514,0.4
건조,oy:A000000257580,60,3,0.05,0.0,11391,0.0
색상어두움,oy:A000000184352,150,0,0.0,0.03,8791,0.0
색상어두움,oy:A000000248065,150,36,0.24,0.1,3514,2.4
색상어두움,oy:A000000257580,60,0,0.0,0.0,11391,0.0
눈시림,oy:A000000184352,150,13,0.087,0.03,8791,0.26
눈시림,oy:A000000248065,150,1,0.007,0.1,3514,0.07
눈시림,oy:A000000257580,60,1,0.017,0.0,11391,0.0
백탁,oy:A000000184352,150,1,0.007,0.03,8791,0.02
백탁,oy:A000000248065,150,15,0.1,0.1,3514,1.0
백탁,oy:A000000257580,60,2,0.033,0.0,11391,0.0
답답무거움,oy:A000000184352,150,5,0.033,0.03,8791,0.1
답답무거움,oy:A000000248065,150,5,0.033,0.1,3514,0.33
답답무거움,oy:A000000257580,60,2,0.033,0.0,11391,0.0
향,oy:A000000184352,150,1,0.007,0.03,8791,0.02
향,oy:A000000248065,150,0,0.0,0.1,3514,0.0
향,oy:A000000257580,60,2,0.033,0.0,11391,0.0
