mention_id,src,site,product_ref,need_key,polarity,strength,observed_at,month,text_ref,sentence
1,review,oliveyoung,oy:A000000248065,건조,불만,0.0,2026-08-18,2026-08,A000000248065/64415296,건조함 ㄴㅂㅈㅇ을 발랐을 때는 피부가 땡겨서 간지러울 정도로 건조하다고 느꼈는데 구달 썬비비는 전혀 건조함을 못 느꼈어요 2.
2,review,oliveyoung,oy:A000000248065,색상어두움,불만,0.0,2026-08-18,2026-08,A000000248065/64415296,"색상 색상이 어두운게 유일한 단점이었는데 라이트베이지 나오면서 그 단점마저 사라짐 ㅎㄹ 블쿠 13호, ㄴㅇㅁ 올마 쿠션 21P 쓰는데 요"
3,review,oliveyoung,oy:A000000248065,트러블,불만,0.0,2026-08-18,2026-08,A000000248065/64415296,"피부 자극, 제형 개복치 피부라 뭐 하나만 잘못 써도 뒤집어지는데 구달 썬비비는 자극도 없고 도구 없이 손으로 발라도 피부표현 예쁘게 되는 제형이에요"
4,review,oliveyoung,oy:A000000248065,밀림,만족,0.0,2026-08-18,2026-08,A000000248065/64415296,뻑뻑함이 1도 없는 촉촉한 제형이라 들뜨거나 딱히 스킨케어를 타거나 하지도 않음 또 썬비비다
5,review,oliveyoung,oy:A000000248065,답답무거움,만족,0.0,2026-08-18,2026-08,A000000248065/64415296,보니 피부에 두껍게 올라가지 않아서 답답함도 없음 원래 피부 화장만 20분 걸리는 사람인데 구달 썬비비는 신경 써서 바르지 않아도 피부 표현이 예뻐서 3분 컷임 진짜 너무 좋아서 다들 꼬옥 써보셨으면 합니다..
6,review,oliveyoung,oy:A000000248065,지속력워터,만족,0.0,2026-08-17,2026-08,A000000248065/64404712,"좀 더 띡하게 올라가긴하는데 덕분에 커버가 엄청 잘되고, 지워짐도 별로 없어서 가볍게 바르기 너무좋아용..."
7,review,oliveyoung,oy:A000000248065,밀림,만족,0.0,2026-08-17,2026-08,A000000248065/64402765,저는 뜨는것도 없었고 밀림도 없었어요
8,review,oliveyoung,oy:A000000248065,백탁,만족,0.0,2026-08-17,2026-08,A000000248065/64402765,그리고 부드럽게 잘 발리고 제가 얇게 발라서 그런지 백탁은 없었고 톤보정이 조금은 되었던거 같아요
10,review,oliveyoung,oy:A000000248065,끈적유분,불만,0.0,2026-08-17,2026-08,A000000248065/64388268,발림성: 선&비비라 무거울까 유분감 느껴질까 걱정했는데 가볍게 발리고 커버도 잘되서 만족해요.
11,review,oliveyoung,oy:A000000248065,향,만족,0.0,2026-08-17,2026-08,A000000248065/64376657,확실히 밝은 것 같고 발림성이 너무 부드럽고 향도 없어서 맘에 들어용 자연스럽게 밝아지고 가격대비 굳입니다
12,review,oliveyoung,oy:A000000248065,건조,만족,0.0,2026-08-16,2026-08,A000000248065/64359819,발림성 좋고 건조하지 않고 커버까지 좋아요
13,review,oliveyoung,oy:A000000248065,색상어두움,불만,0.0,2026-08-16,2026-08,A000000248065/64356133,제가 순하고 좋은데 색깔이 조금 어두워서 아쉬웠어요.
14,review,oliveyoung,oy:A000000248065,답답무거움,만족,0.0,2026-08-16,2026-08,A000000248065/64346398,피부가 답답해 보이지 않고 전체적으로 깔끔하게 정돈되는 느낌이라 데일리로 손이 자주 가더라고요.
17,review,oliveyoung,oy:A000000248065,밀림,만족,0.0,2026-08-15,2026-08,A000000248065/64294277,발림성이 좋구 들뜨지않아서 만족하며 사용중입니다
18,review,oliveyoung,oy:A000000248065,용량가격,만족,0.0,2026-08-15,2026-08,A000000248065/64284489,디자인이 너무 귀엽고 용량도 딱 적당해서 만족하며 사용중입니다
19,review,oliveyoung,oy:A000000248065,답답무거움,만족,0.0,2026-08-15,2026-08,A000000248065/64283467,피부가 답답하지도 않고 무너지지도 않은ㅁ 앞으로도 이거 쓸듯 대신 피부 좋은사람이 써야 피부표현이 예쁨 끼임은 있어요
